abk_bahnhof,Name Haltestelle,lat,lon
LTHI,Langenthal Industriegleis,47.21515385,7.780773702
GIUE,Giubiasco Est (c bin),46.16659999,9.001309994
LTHS,Langenthal Süd,47.20533808,7.780192231
LTTK,"Langenthal, Tell/Kantonalbank",47.21205006,7.789954569
HWSZ,Huttwil Sportzentrum,47.11091449,7.829937504
INDO,"Inkwil, Dorf",47.19969251,7.672351348
NZHI,"Niederönz, Schürchhaus",47.18623285,7.69518428
HWBF,"Huttwil, Bahnhof",47.11437166,7.84299558
NS,Niederscherli,46.88643698,7.388070122
SCBG,Schwarzenburg,46.81910978,7.342561555
AEOS,"Aeschi SO, Ost",47.18145844,7.673182251
BINA,"Biel/Bienne, Nidaugasse",47.1388732,7.24768428
TA,Tavannes,47.21984466,7.20164539
WYGR,"Wynigen, Grüttermatt",47.10808094,7.667447229
MADI,Madiswil,47.16704915,7.795793231
SWG,Sumiswald-Grünen,47.02544335,7.737153257
GUBU,Gutenburg,47.18179093,7.793291295
AEDO,"Aeschi SO, Dorf",47.18052255,7.664378725
THO,Thörishaus Station,46.90462574,7.357028805
GH,Grosshöchstetten,46.90463136,7.634918883
SAGG,"Safnern, Gürweg",47.14609365,7.318588491
GRO,Grolley,46.83197884,7.066052544
DOM,Domdidier,46.86851206,7.011382575
MEUF,"Melchnau, Unterdorf",47.18782232,7.848616642
RUDS,Rudswil,47.10210853,7.604150835
ERUD,"Ersigen, Unterdorf",47.09717979,7.597404797
ERPO,"Ersigen, Gemeindehaus",47.09438437,7.595934543
LOUD,"Lotzwil, Unterdorf",47.19818033,7.786920701
KALB,"Kaltacker, Leumberg",47.07666308,7.692488837
HEKI,"Heimiswil, Kipf",47.05554068,7.648876274
BIA,Biasca,46.35198415,8.974179217
BIBT,Biel/Bienne [Gleis 11/voie 11],47.13232,7.24256
BRUE,Brünig-Hasliberg,46.75776257,8.138654061
BRG,Bargen BE,47.04016167,7.261180411
SOUW,"Solothurn, Ulmenweg",47.20768286,7.516239199
BUWY,"Bützberg, Wyssenried",47.2071008,7.732835679
MEFA,"Melchnau, Fabrik",47.18256948,7.851096345
GLNC,Rue-Gillarens,46.59443112,6.835644477
ZGRD,Zauggenried,47.07407404,7.539246997
LAEN,"Oberhofen a. T., Längenschach.",46.72589441,7.678939378
OHDS,Oberhofen am Thunersee,46.73036166,7.667485952
ZAE,Zäziwil,46.89975231,7.662882111
ADE,"Adelboden, Post",46.49369059,7.560295416
FRTF,"Frutigen, Tellenfeld",46.58082333,7.65159146
STOI,Stöckli,46.51681,7.388399994
SUSZ,"Subingen, Schulzentrum",47.18878196,7.61679421
NB,Niederbipp,47.27040173,7.694818067
HUEN,Hüniken,47.18489714,7.638247349
DERP,"Derendingen, Ritterplatz",47.20055505,7.58548925
AARW,Aarwangen,47.24087529,7.769619205
FADO,"Faulensee, Dorf",46.675425,7.701442662
GWPO,"Grasswil, Post",47.14607593,7.667160824
BITL,"Biel/Bienne, Taubenloch",47.15338609,7.267384599
ETDO,"Etziken, Dorf",47.18733114,7.645394472
KGBI,"Kandergrund, Bifige",46.56247752,7.658327339
THOB,Thörishaus Brücke,46.89554854,7.351696514
STU,Studen BE,47.1104381,7.30174956
LENK,Lenk im Simmental,46.45858,7.443519994
ZOO,Crémines-Zoo,47.27241982,7.456783798
CREM,Crémines,47.28560833,7.435477309
BROV,Broc-Village,46.60405,7.098739999
OD,Oberdiessbach,46.83926254,7.617809345
SIV,Siviriez,46.65926659,6.885348507
